category,product_id,product_name
Azure,12308,Azure Migrate
Azure,12304,Azure Compute Gallery
Azure,12318,Azure AI Search
Azure,12330,Azure Private 5G Core
Azure,12288,Azure Kubernetes Service Confidential Containers
Azure,12329,Azure Arc Cluster microsoft.openservicemesh Extension
Azure,12327,Azure Arc Cluster microsoft.azure.hybridnetwork Extension
Azure,12325,Azure Arc Cluster microsoft.iotoperations.mq Extension
Azure,12324,Azure Arc Cluster microsoft.networkfabricserviceextension Extension
Azure,12328,Azure Arc Cluster microsoft.azstackhci.operator Extension
Azure,12323,Azure Arc Cluster microsoft.videoindexer Extension
Azure,12326,Azure Arc Cluster microsoft.azurekeyvaultsecretsprovider Extension
Azure,12331,Azure Monitor Agent
Azure,12334,Azure Identity Library for .NET
Azure,12333,Azure CycleCloud 8.6.0
ESU,10378,Windows Server 2012
ESU,10379,Windows Server 2012 (Server Core installation)
ESU,10483,Windows Server 2012 R2
ESU,10543,Windows Server 2012 R2 (Server Core installation)
ESU,9312,Windows Server 2008 for 32-bit Systems Service Pack 2
ESU,10287,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)
ESU,9318,Windows Server 2008 for x64-based Systems Service Pack 2
ESU,9344,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)
ESU,10051,Windows Server 2008 R2 for x64-based Systems Service Pack 1
ESU,10049,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)
Windows,11568,Windows 10 Version 1809 for 32-bit Systems
Windows,11569,Windows 10 Version 1809 for x64-based Systems
Windows,11570,Windows 10 Version 1809 for ARM64-based Systems
Windows,11571,Windows Server 2019
Windows,11572,Windows Server 2019 (Server Core installation)
Windows,11923,Windows Server 2022
Windows,11924,Windows Server 2022 (Server Core installation)
Windows,11926,Windows 11 version 21H2 for x64-based Systems
Windows,11927,Windows 11 version 21H2 for ARM64-based Systems
Windows,11929,Windows 10 Version 21H2 for 32-bit Systems
Windows,11930,Windows 10 Version 21H2 for ARM64-based Systems
Windows,11931,Windows 10 Version 21H2 for x64-based Systems
Windows,12085,Windows 11 Version 22H2 for ARM64-based Systems
Windows,12086,Windows 11 Version 22H2 for x64-based Systems
Windows,12097,Windows 10 Version 22H2 for x64-based Systems
Windows,12098,Windows 10 Version 22H2 for ARM64-based Systems
Windows,12099,Windows 10 Version 22H2 for 32-bit Systems
Windows,12242,Windows 11 Version 23H2 for ARM64-based Systems
Windows,12243,Windows 11 Version 23H2 for x64-based Systems
Windows,12244,"Windows Server 2022, 23H2 Edition (Server Core installation)"
Windows,10729,Windows 10 for 32-bit Systems
Windows,10735,Windows 10 for x64-based Systems
Windows,10852,Windows 10 Version 1607 for 32-bit Systems
Windows,10853,Windows 10 Version 1607 for x64-based Systems
Windows,10816,Windows Server 2016
Windows,10855,Windows Server 2016 (Server Core installation)
Developer Tools,12309,Microsoft Visual Studio 2022 version 17.9
Developer Tools,12129,Microsoft Visual Studio 2022 version 17.4
Developer Tools,12187,Microsoft Visual Studio 2022 version 17.6
Developer Tools,12271,Microsoft Visual Studio 2022 version 17.8
Developer Tools,12131,PowerShell 7.3
Developer Tools,12262,PowerShell 7.4
Developer Tools,11970,PowerShell 7.2
Developer Tools,12009,.NET 6.0
Developer Tools,12130,.NET 7.0
Developer Tools,12260,.NET 8.0
Developer Tools,11650-10051,Microsoft .NET Framework 4.8 on Windows Server 2008 R2 for x64-based Systems Service Pack 1
Developer Tools,11650-10049,Microsoft .NET Framework 4.8 on Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)
Developer Tools,11650-10378,Microsoft .NET Framework 4.8 on Windows Server 2012
Developer Tools,11650-10379,Microsoft .NET Framework 4.8 on Windows Server 2012 (Server Core installation)
Developer Tools,11650-10483,Microsoft .NET Framework 4.8 on Windows Server 2012 R2
Developer Tools,11650-10543,Microsoft .NET Framework 4.8 on Windows Server 2012 R2 (Server Core installation)
Developer Tools,11676-11568,Microsoft .NET Framework 3.5 AND 4.8 on Windows 10 Version 1809 for 32-bit Systems
Developer Tools,11676-11569,Microsoft .NET Framework 3.5 AND 4.8 on Windows 10 Version 1809 for x64-based Systems
Developer Tools,11676-11571,Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019
